ts_code,closelow,closehigh,pe_ttmlow,pe_ttmhigh,pblow,pbhigh,turnover_rate_flow,turnover_rate_fhigh,ps_ttmlow,ps_ttmhigh,total_mvlow,total_mvhigh
000001.SZ,8.57,19.8,6.261,12.141,0.7241,1.8073,0.2869,8.5432,1.3638,3.175,13536007.63,25927321.16
000002.SZ,8.78,41.13,6.2733,19.0364,1.2315,3.9016,0.0601,14.493,0.7156,1.8877,9671193.811,45404032.18
000004.SZ,12.57,50.6,43.6737,1126.2258,9.881,51.3619,0.1945,30.4623,3.8904,43.9672,105558.6918,424922.021
000005.SZ,2.53,15.82,47.5391,330.399,2.0126,21.8617,0.0642,35.8054,4.4552,267.4656,267809.821,1446475.766
000006.SZ,4.67,19.44,6.4861,55.3966,1.0985,6.0517,0.4521,22.6532,1.8438,7.5958,630447.6865,2624390.369
000007.SZ,4.8,29.17,59.7303,2970.6229,4.3963,19.2538,0.143,39.3611,9.9782,172.0416,166295.0611,673725.9639
000008.SZ,4.46,4.7,14.1674,14.9297,1.7906,1.8869,2.728,6.984,4.6955,4.9482,1240234.724,1306973.813
000009.SZ,3.62,23.9,23.9503,308.9998,1.5313,10.2101,0.2466,20.9032,0.9238,8.5887,778062.8795,3805136.653
000010.SZ,2.87,17.58,81.3311,2666.0013,1.4606,18.996,0.0165,34.1427,3.3027,30.0656,235298.3026,1033826.687
000011.SZ,7.91,21.81,9.0011,117.6803,1.765,6.3909,0.8652,42.1139,2.0193,12.5016,471419.4618,1299830.4
000012.SZ,3.87,17.98,10.3542,63.422,1.2573,5.0067,0.0685,23.4544,0.9715,5.255,1108088.277,3731453.337
000014.SZ,8.72,37.1,36.5686,431.3171,2.3708,11.2314,0.324,51.2926,2.1083,16.2238,175886.9231,748326.2438
000016.SZ,3.2,30.17,1.4355,714.2884,0.9643,8.8351,0.0035,44.053,0.1893,1.8214,617637.9972,3632385.648
000017.SZ,3.49,25.66,2.4244,9793.2318,119.2916,1161.9545,0.3525,36.638,13.3343,68.0369,192420.4335,1414758.832
000018.SZ,1.79,54.57,10.1299,4816.2411,1.422,70.0477,0.0572,34.3633,0.6009,1232.1389,303985.857,2438769.218
000019.SZ,6.55,23.54,51.587,714.0728,1.1708,9.9469,0.5437,51.4548,5.0009,33.2258,197207.5205,1002705.671
000020.SZ,6,34.41,157.335,18328.7987,6.0464,32.3335,0.0364,48.0371,2.7037,19.1251,169896.7362,974357.7821
000021.SZ,4.91,18.69,15.4543,121.4182,1.2299,5.3763,0.0763,22.7834,0.4725,1.6777,722388.3472,2749783.749
000023.SZ,7.68,38.12,35.9522,651.2764,3.0565,14.6716,0.0495,45.2912,1.0563,5.0038,106564.7923,528938.7869
000025.SZ,10.7,102,106.0782,2052.5496,3.9509,35.9233,0.1981,71.6599,5.1034,84.9662,235701.312,3032272.32
000026.SZ,6.88,26.4,18.1481,70.8541,1.1832,6.165,0.1777,36.7005,0.8788,3.0947,301856.4781,1036907.177
000027.SZ,4.78,26.4,13.9772,41.0512,0.8316,3.8487,0.164,15.4999,1.0854,5.761,1895026.983,6977505.211
000028.SZ,38.4,93.16,13.9127,49.5563,1.4924,6.9098,0.1846,14.7111,0.3938,1.3687,1618063.73,3579141.578
000029.SZ,3.07,18.7,14.6757,78.7663,1.8946,8.6537,0.2931,45.766,1.6058,8.799,310579.62,1891804.2
000030.SZ,3.41,16.6,7.183,33.9207,1.0322,4.8229,0.1734,17.9367,0.8134,4.3665,617398.2699,2155833.932
000031.SZ,3.16,23.17,5.9513,69.644,1.031,7.1078,0.1911,35.5208,0.5627,4.8205,573139.1843,4202416.108
000032.SZ,6.34,30.21,9.079,293.8613,2.0017,9.2523,0.0517,25.533,1.1023,8.0327,189784.4208,900808.8192
000034.SZ,3.55,33.43,9.0577,770.3143,1.8593,52.07,0.1157,34.9021,0.0907,47.9856,127080.6035,2186557.461
000035.SZ,3.99,26.61,1.7266,133.9957,1.2689,537.3528,0.1457,24.3469,2.8599,166.2725,191788.0126,1647901.076
000036.SZ,3.86,13.21,4.7049,531.9011,1.0725,7.0988,0.132,22.5724,1.4754,64.5655,433820.6568,1507905.268
000037.SZ,4.47,19.56,2.3693,381.9352,1.3609,13.5655,0.1452,23.5855,1.2015,8.8671,269434.8804,1179003.638
000038.SZ,8.56,63,20.1044,1731.9176,1.1592,51.609,0.1458,51.162,2.4658,49.4764,82371.1663,2058436.088
000039.SZ,9.61,33.17,8.8609,869.5244,0.9355,3.8817,0.2512,23.6622,0.3317,1.2221,2868547.94,8865108.904
000040.SZ,4.73,21.15,5.8364,224.9177,0.6415,7.7819,0.0695,22.533,1.1505,9.2845,222117.6612,2147500.275
000042.SZ,10.75,29.77,6.3341,1539.9387,1.0102,3.8646,0.0731,20.7856,0.6111,4.0174,538791.84,1425762.94
000043.SZ,5.81,18.2,4.1804,413.8295,0.8901,3.6006,0.1881,24.9703,0.6143,2.014,387504.5827,1213869.777
000045.SZ,5.19,23.2,55.3216,3766.3907,1.101,5.3818,0.1249,47.7223,1.8522,9.0892,265351.2833,1175130.69
000046.SZ,4.57,21.24,6.0912,58.0215,1.1267,10.1026,0.0369,19.7715,1.8724,15.444,2374663.7,9679730.195
000048.SZ,8.52,44.68,16.2522,2079.2941,6.1026,25.7836,0.008,12.6175,1.9423,8.8005,332934.9077,1745954.422
000049.SZ,21,68.53,13.4936,54.9745,2.9031,17.6452,0.5337,28.1586,0.305,1.911,431011.8498,1406535.337
000050.SZ,16.34,18.04,26.0159,36.8889,1.2869,1.4054,6.8746,23.6423,1.1575,1.4404,3346633.065,3694813.984
000055.SZ,3.85,19.28,2.5207,138.6148,1.111,11.5194,0.2117,27.4891,1.4213,6.7946,444860.4491,1459322.297
000056.SZ,4.38,44.22,1.6479,457.8264,0.9534,6.1456,0.0615,30.6721,6.2232,91.7399,336653.4034,1953529.845
000058.SZ,3.85,25.26,17.8034,419.2964,1.7788,15.0138,0.1956,29.87,2.001,27.2858,437917.8476,1982402.299
000059.SZ,5.19,14.98,5.4727,43.7469,0.6955,2.5858,0.0299,17.5536,0.2135,0.8223,830110.6767,2395964.92
000060.SZ,3.93,29,12.6034,304.9452,1.3673,8.8072,0.3187,17.2408,0.6634,2.7174,1402886.334,6416621.02
000061.SZ,3.99,28,95.4046,2475.9373,1.4377,9.7285,0.1055,9.8428,2.7768,28.838,677088.6883,4751499.567
000062.SZ,14.74,91.76,13.5273,154.921,2.6507,25.3911,0.0484,33.7214,1.0902,25.781,983084.0008,6119931.337
000063.SZ,28.25,31.09,,,5.2131,5.7372,2.972,10.5625,1.3015,1.4324,11844297.96,13035016.76
000065.SZ,6.77,57.74,9.5569,78.6931,1.3587,15.2182,0.4512,32.7305,0.5457,4.9101,404176.0417,1930945.577
000066.SZ,3.44,24.33,26.0612,1089.1161,1.6978,12.8713,0.0191,25.5655,0.0585,3.2523,455316.2968,3317966.28
000068.SZ,2.24,14.85,86.1366,2139.8835,3.6047,59.8953,0.2223,34.8634,5.5464,261.4681,225494.4079,1494907.124
000069.SZ,5.21,13.85,4.79,21.7768,0.8318,3.5172,0.2417,17.404,0.9598,3.4517,4274326.417,10070809.67
000070.SZ,5.88,36.21,14.3322,167.0972,1.7927,9.0678,0.0225,38.1659,0.6653,4.6824,261515,1096613.811
000078.SZ,2.87,34.89,10.4412,1038.8364,1.2863,17.4065,0.2213,25.3131,0.2089,2.5085,699518.4454,2552949.64
000088.SZ,4.8,14.16,22.0803,68.2682,1.4562,5.3918,0.283,36.1591,24.5714,92.9323,932256,2750155.2
000089.SZ,6.1,15.44,21.1055,106.8917,1.2919,3.1714,0.1409,18.608,3.6156,10.5204,1031992.839,3166388.122
000090.SZ,4.58,33.95,11.3607,41.3441,1.0458,4.8007,0.2793,21.8003,0.9614,3.3856,658302.93,1875842.046
000096.SZ,8.03,31.53,22.2194,436.8985,1.7198,8.3265,0.0528,23.8235,2.6151,15.9031,423984,1664784
000099.SZ,5.14,26.28,26.7175,88.9398,1.0451,5.9274,0.3043,30.7238,2.3129,11.7793,311520.1959,1592753.064
000100.SZ,2.24,7.48,7.9318,31.0592,1.0621,4.048,0.2588,14.5358,0.2406,0.8846,2117340.573,9127637.389
000150.SZ,5.02,52.7,11.1647,882.8729,2.2675,14.679,0.0427,31.6794,2.65,48.1557,162648,2359931.702
000151.SZ,9.16,37.14,29.2864,131.7985,2.7856,12.2289,0.1857,135.6177,1.1469,6.4473,271117.68,1099269.72
000153.SZ,4.88,19.56,25.8409,142.1908,1.24,5.4573,0.1226,20.8259,0.5306,3.6131,154733.8834,610548.2459
000155.SZ,3.13,17.27,9.6934,182.7276,1.2364,13.9966,0.0149,29.0757,0.6198,17.2699,147110,952500
000156.SZ,7.8,59.95,17.1895,199.9928,1.0782,28.5742,0.234,18.6419,3.3867,34.7673,1118014.484,8592944.653
000157.SZ,3.2,10.38,18.7638,440.7448,0.6743,1.9817,0.0064,19.2872,0.984,3.296,2493447.544,7998780.304
000158.SZ,4.1,39.89,20.2985,8203.3033,1.1379,11.7923,0.2356,39.1935,0.6475,6.2884,677678.734,4372890.445
000159.SZ,3.45,16.69,18.5686,463.9344,0.8054,3.7511,0.3756,46.1597,2.6767,8.0898,165993.0564,803021.4817
000166.SZ,3.89,19.9,8.7895,156.0948,1.2992,8.3115,0.1288,37.6666,3.6382,48.873,8766482.434,29564922.5
000301.SZ,2.86,12.07,10.8879,179.5286,1.1626,4.6522,0.1352,27.3746,1.4307,25.9008,348415.6233,2755872.404
000333.SZ,20.35,62.12,8.5795,24.107,2.3126,5.711,0.2268,5.8893,0.6954,4.348,10135337.66,40679446.3
000338.SZ,6.63,36.76,7.0612,29.9665,0.9018,2.6325,0.278,12.032,0.3632,0.9125,2835021.068,9330235.701
000400.SZ,7.41,35.7,11.7003,36.9592,0.9745,6.3375,0.3021,19.5674,0.7404,4.5581,747170.536,3599728.493
000401.SZ,7.93,24.77,11.1644,785.0425,0.8612,3.3427,0.1585,56.7643,0.5175,2.7059,1068585.671,3337814.258
000402.SZ,5.79,14.97,6.1588,19.0191,0.5855,1.8435,0.1395,11.9097,0.781,2.4356,1730590.416,4474428.071
000403.SZ,14.5,36.9,29.5697,230.5405,8.5437,18.347,0.0596,23.4909,6.7476,18.4645,395237.5186,1005811.34
000404.SZ,3.55,13.99,15.4853,98.3858,0.7879,3.8007,0.2716,29.1701,0.2862,1.1409,247078.5725,782913.9102
000407.SZ,3.55,12.53,34.0522,394.5759,1.3909,5.4708,0.2126,19.6466,0.7156,4.7688,312430.0529,1073703.28
000408.SZ,5.75,35.87,16.1659,2109.4319,2.8706,66.4529,0.0638,27.4688,3.8563,2650.3588,145073.3625,4391058.841
000409.SZ,3.02,23.9,32.2626,123.4429,2.0744,11.2321,0.0456,37.1969,1.0858,38.8614,154301.2097,1129775.335
000410.SZ,5.97,40.45,6.3064,931.005,3.2217,44.6336,0.0641,31.6207,0.8702,4.1187,456986.1177,3096329.726
000411.SZ,10.55,41.66,23.2305,127.9135,2.4562,13.7598,0.0023,23.9529,0.1105,0.5949,218859.693,864236.475
000413.SZ,4.1,16.91,11.558,58.0494,0.7417,6.3527,0.1791,27.0532,0.8789,17.9731,1826186.881,8353419.91
000415.SZ,3.38,28.28,6.5465,51.8219,0.5888,5.0053,0.0377,27.3342,0.5627,6.7487,717127.9292,5017730.23
000416.SZ,3.15,17.52,34.7528,447788.2745,1.9618,11.1834,0.0802,23.5668,8.537,329.2645,167539.5206,931838.8575
000417.SZ,4.2,19.14,16.425,45.1285,0.8814,4.4392,0.1549,22.0399,0.3135,1.5053,327551.364,1492698.359
