ts_code,closelow,closehigh,pe_ttmlow,pe_ttmhigh,pblow,pbhigh,turnover_rate_flow,turnover_rate_fhigh,ps_ttmlow,ps_ttmhigh,total_mvlow,total_mvhigh,close,closerate,pe_ttm,pe_ttmrate,pb,pbrate,turnover_rate_f,turnover_rate_frate,ps_ttm,ps_ttmrate,total_mv,total_mvrate,mv,mv_low,mv_high
000001.SZ,8.57,19.8,6.261,12.141,0.7241,1.8073,0.2869,8.5432,1.3638,3.175,13536007.63,25927321.16,12.69,36.68744435,8.7796,42.83333333,0.99,24.54763663,1.1912,10.95284813,1.8669,27.77716431,21789252.02,66.60508084,6233194136,3349582593,11335789867
000002.SZ,8.78,41.13,6.2733,19.0364,1.2315,3.9016,0.0601,14.493,0.7156,1.8877,9671193.811,45404032.18,29.55,64.20401855,10.5414,33.4409352,2.33,41.14078124,1.2141,7.995621116,1.0808,31.15775105,32620694.16,64.22523762,2883611542,,
000004.SZ,12.57,50.6,43.6737,1126.2258,9.881,51.3619,0.1945,30.4623,3.8904,43.9672,105558.6918,424922.021,19.65,18.61688141,144.6322,9.325971471,12.986,7.485372786,1.5393,4.443005438,5.0964,3.009222293,165014.1841,18.61688142,7986207274,,
000005.SZ,2.53,15.82,47.5391,330.399,2.0126,21.8617,0.0642,35.8054,4.4552,267.4656,267809.821,1446475.766,3.82,9.706546275,106.2607,20.75995926,3.0425,5.188648352,2.7979,7.648596018,6.7428,0.869775492,404361.0736,11.5852378,0.361073967,,
000006.SZ,4.67,19.44,6.4861,55.3966,1.0985,6.0517,0.4521,22.6532,1.8438,7.5958,630447.6865,2624390.369,6.57,12.86391334,10.0197,7.224624569,1.4286,6.664378584,4.8641,19.87288918,3.5436,29.55146036,886946.7452,12.86391334,,,
000007.SZ,4.8,29.17,59.7303,2970.6229,4.3963,19.2538,0.143,39.3611,9.9782,172.0416,166295.0611,673725.9639,8.22,14.03364793,,,7.5286,21.08228168,10.4657,26.32126493,75.248,40.27423835,284780.2922,23.35002272,,,
000008.SZ,4.46,4.7,14.1674,14.9297,1.7906,1.8869,2.728,6.984,4.6955,4.9482,1240234.724,1306973.813,4.66,83.33333333,14.8027,83.33989243,1.8709,83.38525441,6.984,100,4.9061,83.33992877,1295850.631,83.33333288,,,
000009.SZ,3.62,23.9,23.9503,308.9998,1.5313,10.2101,0.2466,20.9032,0.9238,8.5887,778062.8795,3805136.653,7.38,18.54043393,308.9998,100,3.1173,18.27441582,9.0292,42.51716159,1.8026,11.46525069,1586216.589,26.69752274,,,
000010.SZ,2.87,17.58,81.3311,2666.0013,1.4606,18.996,0.0165,34.1427,3.3027,30.0656,235298.3026,1033826.687,3.93,7.205982325,,,3.3413,10.72516167,2.3094,6.718884611,10.5557,27.10094945,322202.9022,10.88309461,,,
000011.SZ,7.91,21.81,9.0011,117.6803,1.765,6.3909,0.8652,42.1139,2.0193,12.5016,471419.4618,1299830.4,11.64,26.83453237,36.3233,25.14022923,2.4044,13.82217514,17.1963,39.5917932,4.7811,26.34727111,693719.6631,26.83453236,,,
