ts_code,closelow,closehigh,pe_ttmlow,pe_ttmhigh,pblow,pbhigh,turnover_rate_flow,turnover_rate_fhigh,ps_ttmlow,ps_ttmhigh,total_mvlow,total_mvhigh
000001.SZ,8.6,14.8,6.265,11.033,0.7241,1.2824,0.393,4.3963,1.3837,2.4069,14766553.77,25412208.82
000002.SZ,20.59,41.13,7.6088,19.0364,1.685,3.9016,0.2648,2.5509,0.8145,1.8877,22729613.97,45404032.18
000004.SZ,15,23.8,86.7522,217.6191,9.881,17.321,0.1945,9.9945,3.8904,14.1647,125965.026,199864.5079
000005.SZ,2.53,4.41,64.9828,246.6042,2.0126,3.6864,0.2222,9.6987,4.4552,10.4762,267809.821,466814.7473
000006.SZ,4.67,9.85,6.4861,15.2196,1.0985,2.6533,0.4521,14.9115,2.5639,4.483,630447.6865,1329745.12
000007.SZ,4.8,17.37,59.7303,605.3271,4.3963,16.2315,0.1469,38.7526,43.9404,142.3793,166295.0611,601780.2542
000008.SZ,4.46,4.7,14.1674,14.9297,1.7906,1.8869,2.728,6.984,4.6955,4.9482,1240234.724,1306973.813
000009.SZ,3.62,7.64,46.3046,308.9998,1.5313,3.5312,0.2622,9.0292,0.9238,2.3142,778062.8795,1642099.558
000010.SZ,2.87,6.2,106.309,166.0242,1.4606,4.0215,0.1452,10.717,3.3027,12.7045,235298.3026,508309.9221
000011.SZ,8.37,18.46,9.0011,36.3233,1.765,3.8216,0.8652,17.1963,2.0193,4.7811,498834.5,1100177.404
000012.SZ,3.87,9.19,14.1116,29.3446,1.2573,2.7355,0.1359,5.049,0.9715,2.2288,1108088.277,2282931.596
000014.SZ,8.72,17.11,36.5686,431.3171,2.3708,4.639,1.5674,51.2926,2.1083,8.6798,175886.9231,345117.575
000016.SZ,3.2,7.3,1.4355,65.3823,0.9643,5.7743,0.3527,18.0161,0.1893,0.6801,770542.5306,1757800.148
000017.SZ,3.49,6.45,552.0595,2117.4917,119.2916,273.4446,0.4036,24.3676,13.3343,30.2558,192420.4335,355619.4258
000018.SZ,1.79,6.44,10.1299,26.2271,1.422,5.3538,0.4237,25.6035,0.6009,1.788,303985.857,1093669.787
000019.SZ,6.9,14.3,51.587,69.5281,1.1708,6.9892,0.8759,25.1968,11.49,33.2258,361160.7343,1002705.671
000020.SZ,9.87,18.3,1724.0462,5971.8254,8.6402,16.1909,0.7261,30.9379,3.4369,6.2088,279480.131,518185.0454
000021.SZ,4.91,11.73,15.4543,45.4278,1.2299,2.9701,0.4458,21.8335,0.4725,1.1336,722388.3472,1725787.233
000023.SZ,9.99,21.58,57.2073,345.6318,3.413,7.2013,0.4994,28.6581,1.0563,2.6074,138617.4838,299435.9659
000025.SZ,24.34,44.34,106.0782,316.9928,7.2424,14.0677,1.4356,38.6548,18.1146,40.9538,723583.4144,1318146.614
000026.SZ,6.88,11.37,18.1481,35.9173,1.1832,2.0229,0.1777,4.9302,0.8788,1.5419,301856.4781,498852.9297
000027.SZ,4.78,6.68,21.537,41.0512,0.8316,1.1075,0.164,6.2845,1.0854,1.8738,1895026.983,2648280.387
000028.SZ,38.4,64.37,13.9127,24.9318,1.4924,3.0253,0.2383,3.4071,0.3938,0.6391,1644007.615,2755853.39
000029.SZ,7.16,15.95,16.484,53.6209,3.3134,7.3811,0.2931,45.766,2.7258,7.505,724348.56,1613597.7
000030.SZ,3.41,8.24,7.183,13.2849,1.0322,1.9145,0.1734,6.4917,0.8134,1.5662,617398.2699,1065639.243
000031.SZ,4.64,8.98,5.9513,23.3317,1.031,2.7642,0.3331,6.9095,0.5824,1.8291,841571.4605,2453668.961
000032.SZ,6.34,11.03,41.4198,147.1495,2.0017,3.2751,0.5391,13.1847,1.4577,2.8652,261981.2651,465746.3098
000034.SZ,10.45,24.64,9.0577,49.0345,1.8593,6.2547,0.1157,13.1231,0.0907,0.673,683503.6035,1611629.549
000035.SZ,3.99,8.33,23.2832,56.2132,1.2689,5.1962,0.1457,5.6119,2.8599,11.0876,539257.0478,1397395.937
000036.SZ,3.97,11.25,4.768,12.8369,1.0725,3.1191,0.2925,11.6607,1.4754,3.3525,453170.6217,1284173.676
000037.SZ,4.49,12.2,2.3693,381.9352,1.3609,3.718,0.2679,12.1673,1.2015,3.9013,270640.4056,735370.3671
000038.SZ,11.95,47.65,20.1044,137.1103,1.1592,3.172,0.1458,28.3227,2.4658,19.7428,624719.0157,1556896.502
000039.SZ,9.61,23.03,8.8609,33.6964,0.9355,2.2432,0.2512,4.7311,0.3317,0.9801,2868547.94,6869593.68
000040.SZ,6.38,14.11,5.8364,51.3364,0.6415,1.6747,0.1386,9.2124,1.1505,2.8732,948625.5291,1886751.487
000042.SZ,10.75,19.52,6.3341,30.6704,1.0102,2.1443,0.0731,4.7244,0.6111,1.9134,714693.4744,1297750.383
000043.SZ,5.81,10.26,4.1804,59.0688,0.8901,1.7277,0.2591,8.0339,0.6143,1.1472,387504.5827,684302.4128
000045.SZ,5.19,10.15,55.3216,130.6513,1.101,2.1871,0.3997,21.4482,1.8522,3.6787,265351.2833,518943.2612
000046.SZ,4.57,8.17,6.0912,16.8622,1.1267,2.3463,0.0369,5.9455,2.1584,5.6921,2374663.7,4245295.936
000048.SZ,16.32,25.73,16.2522,33.5042,6.1026,14.6705,0.008,3.5816,1.9423,6.7077,637734.4711,1005447.791
000049.SZ,21,42.65,13.4936,28.402,2.9031,6.7783,0.5337,8.301,0.305,0.7856,431011.8498,875364.5426
000050.SZ,16.34,18.04,26.0159,36.8889,1.2869,1.4054,6.8746,23.6423,1.1575,1.4404,3346633.065,3694813.984
000055.SZ,3.85,8.57,2.5207,10.7351,1.111,4.1302,0.446,27.4891,1.4213,2.5756,444860.4491,1014381.412
000056.SZ,4.38,13.83,30.6457,107.8434,0.9534,3.0508,0.0615,30.6721,6.2232,39.4729,514801.2712,1625502.644
000058.SZ,3.85,8.28,17.8034,71.6723,2.4551,5.4269,0.2893,27.8595,2.001,9.3815,475727.6559,1023123.374
000059.SZ,5.73,10.88,5.4727,9.3588,0.6955,1.5062,0.4235,8.2519,0.2585,0.5421,916480.5737,1740193.48
000060.SZ,3.93,12.1,12.6034,28.1661,1.3673,2.9133,0.3187,8.1459,0.6634,1.5338,1402886.334,2879546.164
000061.SZ,3.99,8.04,130.971,960.5399,1.4377,2.8433,0.1055,2.8065,2.7768,5.9973,677088.6883,1364359.161
000062.SZ,16.66,24.31,19.6862,36.7164,2.6507,4.2552,0.5277,9.8261,1.0902,2.4298,1201713.746,1753521.078
000063.SZ,28.25,31.09,,,5.2131,5.7372,2.972,10.5625,1.3015,1.4324,11844297.96,13035016.76
000065.SZ,6.77,18.8,9.5569,18.8483,1.3587,2.7556,0.4512,13.1977,0.5457,0.9643,520955.1626,964446.7812
000066.SZ,4.71,10.19,26.0612,92.4378,2.2895,4.9534,0.4996,21.0386,0.6704,3.2523,1382933.979,2991952.706
000068.SZ,2.24,7.58,86.1366,170.3889,3.6047,12.5656,0.2223,34.8634,5.5464,19.9403,225494.4079,763056.9697
000069.SZ,5.21,10.79,4.79,10.1745,0.8318,1.845,0.2417,6.3868,0.9598,2.4732,4274326.417,8853930.247
000070.SZ,5.88,17.49,14.3322,42.4945,1.7927,5.1646,0.4618,38.1659,0.6653,1.9087,368672.9106,1096613.811
000078.SZ,2.87,6.15,10.4412,27.0528,1.2863,2.9797,0.3222,13.901,0.2089,0.8308,759578.0048,1627667.153
000088.SZ,4.8,8.47,22.0803,44.968,1.4562,2.6475,0.3233,9.9566,24.5714,49.6985,932256,1645043.4
000089.SZ,7.38,10.04,21.1055,29.1071,1.3362,1.7832,0.2081,7.122,4.3626,5.8826,1513467.898,2058972.587
000090.SZ,4.58,11.41,14.532,41.3441,1.0458,2.1076,0.2793,5.9602,0.9614,1.9028,658302.93,1366673.295
