circ_mv,close,float_share,free_share,index,level_0,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,trade_date,ts_code,turnover_rate,turnover_rate_f,volume_ratio
4578274.3507,26.06,175682.0549,155018.7787,2590,,7.146,45.8714,26.1418,8.3762,9.9386,5976619.0199,229340.7145,20080313,000001.SZ,1.4489,1.642,1.03
2319790.7749,10.83,214200.4409,198545.0997,2440,,1.4080000000000001,9.7629,6.3203,2.3938,1.8772,2587065.2038,238879.5202,20081027,000001.SZ,1.4312,1.544,1.41
2339068.8140000002,8.4,278460.5731,198545.0997,2435,,1.5469,9.844,6.3728,2.4137,1.8928,2608564.3601,310543.3762,20081103,000001.SZ,0.7253,1.0173,0.63
4471716.4875,9.0,496857.3875,390867.8851,1380,,0.8394,5.5046,5.4396,1.8561,1.8071,7377624.5985,819736.0665,20130709,000001.SZ,1.0308,1.3103,0.71
8510127.9168,9.04,941385.8315,504274.1694,2445,,3.3675,20.5186,20.0801,2.7978,2.6286,9939670.0371,1099521.0218,20080627,000002.SZ,1.0862,2.0277,0.95
5300002.2313,5.63,941385.8315,806876.3519,2390,,2.0621,12.7787,11.8197,1.7424,1.485,6190303.3527,1099521.0218,20080912,000002.SZ,0.7091,0.8274,1.13
29993.2042,7.2,4165.7228,4165.7228,3245,,6.289,156.5797,428.0604,5.0582,4.8801,60463.2125,8397.6684,20040713,000004.SZ,1.7744,1.7744,2.49
18205.9623,3.5,5201.7035,4165.7228,2760,,3.5516,,,4.7888,5.6770000000000005,29391.8394,8397.6684,20060825,000004.SZ,1.6169,2.0191,0.62
34523.3833,6.38,5411.1886,5201.7035,2555,,6.8169,766.5965,789.319,11.2395,12.0944,53577.1244,8397.6684,20070709,000004.SZ,3.0309,3.153,0.84
46878.0448,7.18,6528.9756,5622.284000000001,2365,,6.166,862.7214,,12.6488,14.9063,60295.2591,8397.6684,20080418,000004.SZ,1.0102,1.1731,0.98
33319.4557,5.1,6533.2266,6113.3432,2320,,6.0082,,,10.588,10.7927,42828.1088,8397.6684,20080626,000004.SZ,1.3267,1.4178,1.18
32078.1426,4.91,6533.2266,6113.3432,2315,,5.7844,,,10.1936,10.3906,41232.5518,8397.6684,20080703,000004.SZ,0.7963,0.8509,1.12
20389.1492,2.9,7030.7411,6113.3432,2240,,3.5246,,,6.0206,5.3304,24353.2384,8397.6684,20081027,000004.SZ,0.4298,0.4943,0.57
19545.4603,2.78,7030.7411,6113.3432,2235,,3.3787,,,5.7715,5.1098,23345.5182,8397.6684,20081103,000004.SZ,0.7838,0.9014,1.37
66346.8525,7.91,8387.7184,6196.2517,1540,,9.0903,57.1447,247.8453,5.0579,7.8849,66425.557,8397.6684,20120104,000004.SZ,0.5549,0.7512,1.02
131600.5952,15.69,8387.5459,6196.0792,830,,18.596,,,18.1027,19.4054,131759.4172,8397.6684,20150105,000004.SZ,3.3496,4.5343,1.21
204991.6218,24.44,8387.5459,6196.0792,705,,26.1711,539.9075,431.2526,25.4611,22.741999999999997,205239.0157,8397.6684,20150709,000004.SZ,8.5493,11.573,1.1
243322.7066,29.01,8387.5459,5354.4471,690,,31.0648,640.864,511.8919,30.221999999999998,26.9944,243616.3603,8397.6684,20150730,000004.SZ,8.4412,13.2228,1.11
220927.95899999997,26.34,8387.5459,4934.5448,650,,27.1444,581.8807,227.5677,27.4405,19.6226,221194.5857,8397.6684,20150928,000004.SZ,3.5161,5.9766,0.75
239632.1864,28.57,8387.5459,4628.3516,570,,29.0002,631.1439,204.2773,29.7637,19.8144,239921.3862,8397.6684,20160126,000004.SZ,2.8191,5.1089,0.91
245755.0949,29.3,8387.5459,4628.3516,565,,29.7412,647.2704,209.4969,30.5242,20.3207,246051.6841,8397.6684,20160202,000004.SZ,1.7065,3.0926,0.57
269240.2234,32.1,8387.5459,4628.3516,560,,32.5833,709.1256,229.517,33.4411,22.2626,269565.1556,8397.6684,20160216,000004.SZ,1.8534,3.3588,1.01
215539.651,25.98,8296.3684,4927.8141,400,,18.235,55.5153,53.8511,7.5841,7.6536,218171.425,8397.6684,20170627,000004.SZ,3.4948,5.8838,0.65
