ts_code,index,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,droprate,symbol,name,area,industry,market,list_date
000050.SZ,0,20190322,16.39,3.2364,6.9783,0.8,36.2693,36.2693,1.2909,1.1611,1.1611,204812.3051,181985.7609,84401.8636,3356873.6806,2982746.6212,0.16420193778181552,000050,深天马A,深圳,元器件,主板,19950315
000536.SZ,0,20190322,3.67,4.6503,7.3122,0.77,49.5224,,0.8479,2.0763,1.9982,276603.2803,200334.3563,127405.3848,1015134.0387,735227.0876,0.1771300448185131,000536,华映科技,福建,元器件,主板,19931126
000622.SZ,0,20190322,7.44,8.6429,15.5995,1.11,,,16.7707,53.8654,42.7419,42522.6,42522.6,23559.6,316368.144,316368.144,0.164983164983165,000622,恒立实业,湖南,汽车配件,主板,19961107
000662.SZ,0,20190322,7.57,2.6545,3.394,0.69,14.4116,16.5108,1.4661,4.9681,5.0313,109309.7734,37426.5875,29272.3521,827474.9846,283319.2674,0.16261061947697467,000662,天夏智慧,广西,软件服务,主板,19961216
000693.SZ,0,20180427,3.31,1.0955,1.1349,22.17,,,2.4428,0.8748,2.9543,54349.1923,27735.5151,26772.0456,179895.8265,91804.555,0.7852044127235076,000693,*ST华泽,四川,小金属,主板,19970226
000727.SZ,0,20190322,2.9,6.0462,7.7763,0.84,1127.8975,,1.4267,2.1911,2.5604,452956.698,293065.4957,227861.8733,1313574.4242,849889.9375,0.1784702549369552,000727,华东科技,江苏,元器件,主板,19970520
000859.SZ,0,20190322,7.2,10.6476,14.7352,0.79,88.3984,45.6376,3.4638,4.5384,4.345,73944.973,73931.248,53422.3058,532403.8056,532304.9856,0.20704845810253952,000859,国风塑业,安徽,塑料,主板,19981119
000862.SZ,0,20190322,7.11,13.5512,16.0983,0.92,94.4518,94.4518,1.9327,4.2016,4.2016,70611.8997,50135.289,42202.9097,502050.6069,356461.9048,0.20469798650222845,000862,银星能源,宁夏,新型电力,主板,19980915
000897.SZ,0,20190322,2.68,0.2213,0.2872,0.12,,,4.1274,28.0044,28.0044,161727.2234,161724.4634,124647.1852,433428.9587,433421.5619,0.2117647059615157,000897,*ST津滨,天津,区域地产,主板,19990422
000971.SZ,0,20190322,5.0,7.464,9.8905,0.67,34.8071,99.8511,1.2924,6.2686,6.1354,108849.1792,59157.5047,44644.1315,544245.896,295787.5235,0.203821656078909,000971,高升控股,湖北,互联网,主板,20000427
002017.SZ,0,20190322,18.07,20.0496,36.594,1.14,213.8457,207.3222,5.943,6.7809,6.9974,44648.6084,44648.6084,24462.6235,806800.3538,806800.3538,0.20291133653424628,002017,东信和平,广东,通信设备,中小板,20040713
002100.SZ,0,20190322,8.18,3.446,7.4957,0.92,19.3557,24.7302,2.359,1.7021,1.4948,96340.5009,96340.5009,44290.4862,788065.2974,788065.2974,0.17623363537655534,002100,天康生物,新疆,饲料,中小板,20061226
002124.SZ,0,20190322,16.7,4.9306,7.2062,0.93,73.8755,,8.0664,6.3265,4.2847,115962.8098,105849.1428,72422.944,1936578.9237,1767680.6848,0.17490118577058256,002124,天邦股份,浙江,饲料,中小板,20070403
002131.SZ,0,20190322,2.21,5.964,6.6338,0.74,32.2585,,1.3764,1.2851,1.1836,614783.8853,398688.9528,358438.9906,1358672.3865,881102.5857,0.15648854963372297,002131,利欧股份,浙江,互联网,中小板,20070427
002157.SZ,0,20190322,15.24,4.4518,8.1232,0.99,68.7385,195.0649,5.6878,1.7531,1.6368,237132.7981,216840.189,118836.4175,3613903.843,3304644.4804,0.19492868463145874,002157,正邦科技,江西,饲料,中小板,20070817
002175.SZ,0,20190322,6.7,15.1312,16.4908,0.73,,,8.4087,12.2705,20.0677,75377.8212,59941.2733,54999.428,505031.402,401606.5311,0.21083627805138916,002175,东方网络,广西,电器仪表,中小板,20071012
002184.SZ,0,20190322,12.43,4.6205,5.9766,0.79,206.53,,3.2111,1.4632,1.7276,24140.4649,13586.723,10503.937,300065.9787,168882.9669,0.15842924856000193,002184,海得控制,上海,软件服务,中小板,20071116
002234.SZ,0,20190322,28.5,11.9029,13.0614,0.75,22.6147,22.6147,7.6822,4.7358,4.7358,30204.6632,19115.4259,17419.8672,860832.9012,544789.6382,0.27793260704090134,002234,民和股份,山东,农业综合,中小板,20080516
