,db,start,end
0,margin_detail,20180101,20180102
0,daily_basic,20180101,20181231
0,daily_basic,20180101,20181231
0,daily_basic,20170101,20171231
0,daily_basic,20160101,20161231
0,daily_basic,20100101,20151231
0,daily_basic1,20000101,20190310
0,daily_basic_ts_code,20000101,20190310
0,daily_basic_ts_code,20190310,20190312
0,daily_basic,20190101,20190312
0,margin_detail,20190101,20190312
0,daily_basic_ts_code,20190310,20190312
0,daily_basic,20190312,20190314
0,margin_detail,20190312,20190314
0,daily_basic_ts_code,20190312,20190314
0,daily_basic,20190314,20190318
0,margin_detail,20190314,20190318
0,daily_basic_ts_code,20190314,20190317
0,daily_basic,20190318,20190319
0,margin_detail,20190318,20190319
0,daily_basic_ts_code,20190317,20190319
0,daily_basic,20190319,20190320
0,margin_detail,20190319,20190320
0,daily_basic_ts_code,20190319,20190320
